block_identifier,service_id,trip_id,trip_sequence
3984051,76095,29674179,1
3984052,76095,29674182,1
3984053,76095,29674181,1
3984054,71851,29674180,1
3984055,76095,29674319,1
3984056,76095,29674315,1
3984056,76095,29674316,3
3984057,76095,29674317,1
3984057,76095,29674321,2
3984057,76095,29674320,4
3984058,76095,29674313,1
3984058,76095,29674314,3
3984059,76095,29675143,1
3984060,76095,29675146,1
3984061,76095,29675144,1
3984062,76095,29674400,1
3984063,76095,29674399,1
3984064,76095,29674318,1
3984064,76095,29674322,2
3984065,76095,29675028,1
3984065,76095,29675067,2
3984065,76095,29675030,3
3984065,76095,29675069,4
3984065,76095,29675034,5
3984065,76095,29675073,6
3984065,76095,29675038,7
3984065,76095,29675077,8
3984065,76095,29675041,9
3984065,76095,29675080,10
3984065,76095,29675044,11
3984065,76095,29675083,12
3984065,76095,29675047,13
3984065,76095,29675086,14
3984065,76095,29675050,15
3984065,76095,29675089,16
3984065,76095,29675054,17
3984065,76095,29675093,18
3984066,76095,29675029,1
3984066,76095,29675068,2
3984066,76095,29675032,3
3984066,76095,29675071,4
3984066,76095,29675036,5
3984066,76095,29675075,6
3984066,76095,29675040,7
3984066,76095,29675079,8
3984066,76095,29675043,9
3984066,76095,29675082,10
3984066,76095,29675046,11
3984066,76095,29675085,12
3984066,76095,29675049,13
3984066,76095,29675088,14
3984066,76095,29675052,15
3984066,76095,29675091,16
3984066,76095,29675057,17
3984066,76095,29675096,18
3984066,76095,29675061,19
3984066,76095,29675100,20
3984066,76095,29675063,21
3984066,76095,29675102,22
3984066,76095,29675065,23
3984066,76095,29675104,24
3984067,71851,29675031,1
3984067,71851,29675070,2
3984067,71851,29675035,3
3984067,71851,29675074,4
3984067,71851,29675039,5
3984067,71851,29675078,6
3984067,71851,29675042,7
3984067,71851,29675081,8
3984067,71851,29675045,9
3984067,71851,29675084,10
3984067,71851,29675048,11
3984067,71851,29675087,12
3984067,71851,29675051,13
3984067,71851,29675090,14
3984067,71851,29675055,15
3984067,71851,29675094,16
3984067,71851,29675059,17
3984067,71851,29675098,18
3984067,71851,29675062,19
3984067,71851,29675101,20
3984067,71851,29675064,21
3984067,71851,29675103,22
3984067,71851,29675066,23
3984067,71851,29675105,24
3984067,4244,29675042,1
3984067,4244,29675081,2
3984067,4244,29675045,3
3984067,4244,29675084,4
3984067,4244,29675048,5
3984067,4244,29675087,6
3984067,4244,29675042,7
3984067,4244,29675081,8
3984067,4244,29675045,9
3984067,4244,29675084,10
3984067,4244,29675048,11
3984067,4244,29675087,12
3984067,4244,29675051,13
3984067,4244,29675090,14
3984067,4244,29675055,15
3984067,4244,29675094,16
3984067,4244,29675059,17
3984067,4244,29675098,18
3984067,4244,29675062,19
3984067,4244,29675101,20
3984067,4244,29675064,21
3984067,4244,29675103,22
3984067,4244,29675066,23
