route_num_1,route_num_2,stop_id,pattern_id_1,pattern_id_2
121,121,190,10121087,21121092
65,32,9978,20065082,21032115
65,31,9978,20065082,31031046
348,345,38962,20348006,11345006
345,331,6940,11345014,41331023
348,345,38962,20348006,11345014
348,345,38962,20348006,11345006
348,345,38962,20348006,11345014
348,346,38962,20348006,11346009
132,28,30635,10132383,11028536
43,44,29380,11043048,11044011
43,44,29380,11043043,11044011
346,347,17010,20346008,11347009
47,47,1085,20047008,11047005
123,121,190,10123016,21121092
131,28,30635,10131103,11028519
132,28,30635,10132383,11028519
347,346,38962,20347011,11346009
348,346,38962,20348006,11346009
65,31,9978,20065082,31031046
75,31,9978,20075156,31031046
75,31,9978,20075166,31031046
14,1,3600,10014604,11001035
14,1,3600,10014603,11001035
12,12,1420,20012045,11012041
345,348,17010,20345005,11348005
345,348,17010,20345015,11348005
49,7,1085,20049040,21007044
49,7,1085,20049040,21007046
49,7,1085,20049040,21007047
49,7,1085,20049040,21007051
49,7,1085,20049040,21007053
3,4,2220,21003567,21004585
24,124,2220,20024108,21124051
4,3,2220,21004567,21003564
4,2,2220,21004568,21002559
4,3,2220,21004568,21003564
4,3,2220,21004568,21003566
4,3,2220,21004568,21003575
4,36,2220,21004568,21036365
4,36,2220,21004569,21036410
179,601,675,10179035,20601006
187,182,61330,10187008,21182008
238,236,73812,20238061,11236059
164,183,57459,30164026,21183032
107,148,46440,21107015,21148008
131,26,30635,10131101,11026060
131,26,30635,10131103,11026060
132,26,30635,10132383,11026060
4,36,2220,21004569,21036410
182,187,60634,10182009,21187013
49,7,1085,20049030,21007044
49,7,1085,20049030,21007046
49,7,1085,20049030,21007047
49,7,1085,20049030,21007053
331,345,5488,30331014,20345005
169,166,57457,20169021,11166051
169,166,57457,20169021,11166052
164,164,57451,30164022,41164020
164,168,57451,30164022,41168032
345,331,6940,11345014,41331023
164,183,57459,30164026,21183032
107,148,46440,21107015,21148008
99,99,2199,11099011,20099012
331,345,5488,30331015,20345005
331,345,5488,30331020,20345015
13,4,2220,20013020,21004565
3,4,2220,21003570,21004565
7,49,3600,10007009,11049029
7,49,3600,10007009,11049032
7,49,3600,10007009,11049034
7,49,3600,10007009,11049035
7,49,3600,10007009,11049042
7,49,3600,10007009,11049043
47,47,1085,20047008,11047005
21,5,30635,10021380,11005153
347,346,38962,20347011,11346009
5,21,7430,20005154,21021374
5,21,7430,20005154,21021375
5,21,7430,20005154,21021379
14,1,3600,10014603,11001035
14,1,3600,10014604,11001035
164,164,57451,30164022,41164020
168,166,57457,30168034,11166051
168,166,57457,30168034,11166052
13,2,2220,20013020,21002559
4,2,2220,21004568,21002559
2,3,2220,21002561,21003564
2,2,3037,10002552,21002560
75,32,9978,20075166,21032115
75,31,9978,20075166,31031046
75,32,9978,20075160,21032115
27,33,1370,10027026,11033052
27,33,1370,10027026,11033054
75,32,9978,20075156,21032115
75,31,9978,20075156,31031046
65,32,9978,20065082,21032115
75,32,9978,20075156,21032115
75,32,9978,20075160,21032115
75,32,9978,20075166,21032115
32,65,26368,10032119,11065079
32,75,26368,10032119,11075155
32,75,26368,10032119,11075157
32,75,26368,10032119,11075163
122,121,190,10122018,21121092
3,4,12880,10003557,10004560
4,3,12880,10004580,10003558
43,44,29380,11043043,11044011
43,44,29380,11043048,11044011
3,2,12880,10003559,10002564
3,4,12880,10003559,10004559
3,4,12880,10003559,10004560
3,13,12880,10003559,11013018
13,2,2220,20013020,21002559
13,3,2220,20013020,21003564
13,4,2220,20013020,21004565
13,36,2220,20013020,21036365
169,166,57457,20169021,11166052
168,166,57457,30168034,11166052
169,166,57457,20169021,11166051
168,166,57457,30168034,11166051
179,601,675,10179035,20601006
236,238,73818,20236060,11238060
2,13,3037,10002554,11013018
3,13,12880,10003559,11013018
4,13,12880,10004557,11013018
3,4,12880,10003573,10004560
13,36,2220,20013020,21036365
4,36,2220,21004568,21036365
32,75,26368,10032119,11075163
31,75,26368,40031043,11075163
31,75,26368,40031045,11075163
27,33,1370,10027026,11033052
27,33,1370,10027026,11033054
132,26,30635,10132383,11026060
132,28,30635,10132383,11028519
132,28,30635,10132383,11028536
236,238,73818,20236060,11238060
32,75,26368,10032119,11075157
31,75,26368,40031045,11075157
32,75,26368,10032119,11075155
31,75,26368,40031043,11075155
31,75,26368,40031045,11075155
238,248,73812,20238061,41248030
49,7,1085,20049040,21007051
49,7,1085,20049030,21007053
49,7,1085,20049040,21007053
164,168,57451,30164022,41168032
49,7,1085,20049030,21007046
49,7,1085,20049040,21007046
49,7,1085,20049030,21007047
49,7,1085,20049040,21007047
49,7,1085,20049030,21007044
49,7,1085,20049040,21007044
238,236,73812,20238061,11236059
238,248,73812,20238061,41248030
148,107,46468,10148007,10107014
4,3,12880,10004580,10003558
187,182,61330,10187008,21182008
182,187,60634,10182009,21187013
99,99,2199,11099011,20099012
4,13,12880,10004557,11013018
3,4,12880,10003559,10004559
346,347,17010,20346008,11347009
3,4,12880,10003557,10004560
3,4,12880,10003559,10004560
3,4,12880,10003573,10004560
121,121,190,10121087,21121092
122,121,190,10122018,21121092
123,121,190,10123016,21121092
32,65,26368,10032119,11065079
31,65,26368,40031043,11065079
31,65,26368,40031044,11065079
31,65,26368,40031045,11065079
3,2,12880,10003559,10002564
166,169,57452,20166053,11169019
166,169,57452,20166054,11169019
21,5,30635,10021380,11005153
2,13,3037,10002554,11013018
7,49,3600,10007009,11049035
7,49,3600,10007009,11049034
7,49,3600,10007009,11049032
2,2,3037,10002552,21002560
7,49,3600,10007009,11049029
7,49,3600,10007009,11049042
7,49,3600,10007009,11049043
345,348,17010,20345005,11348005
331,345,5488,30331014,20345005
331,345,5488,30331015,20345005
12,12,1420,20012045,11012041
13,3,2220,20013020,21003564
2,3,2220,21002561,21003564
3,3,2220,21003567,21003564
4,3,2220,21004567,21003564
4,3,2220,21004568,21003564
5,21,7430,20005154,21021379
5,21,7430,20005154,21021374
5,21,7430,20005154,21021375
3,3,2220,21003567,21003575
4,3,2220,21004568,21003575
3,4,2220,21003570,21004565
4,3,2220,21004568,21003566
3,3,2220,21003567,21003564
3,3,2220,21003567,21003575
3,4,2220,21003567,21004585
131,26,30635,10131101,11026060
131,26,30635,10131103,11026060
131,28,30635,10131103,11028519
31,65,26368,40031043,11065079
31,75,26368,40031043,11075155
31,75,26368,40031043,11075163
31,65,26368,40031045,11065079
31,75,26368,40031045,11075155
31,75,26368,40031045,11075157
31,75,26368,40031045,11075163
31,65,26368,40031044,11065079
