service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
77443,1,1,1,1,0,0,0,20151209,20160325
76171,0,1,1,1,0,0,0,20151209,20160325
76095,0,1,1,1,0,0,0,20151209,20160325
74382,0,1,1,1,0,0,0,20151209,20160325
73199,0,0,0,0,0,0,0,20151209,20160325
71851,0,0,0,0,0,0,0,20151209,20160325
70138,0,0,0,0,0,0,0,20151209,20160325
64193,0,0,0,0,0,0,0,20151209,20160325
63815,1,1,1,1,0,0,0,20151209,20160324
63339,0,0,0,0,0,0,0,20151209,20160325
62155,0,0,0,0,0,0,0,20151209,20160325
61700,0,0,0,0,0,0,0,20151209,20160318
60720,0,0,0,0,0,0,0,20151209,20160325
60084,0,0,0,0,0,0,0,20151209,20160325
58420,0,0,0,0,0,0,0,20151209,20160325
50876,0,0,0,0,0,0,0,20151210,20160325
49831,0,0,0,0,0,0,0,20151210,20160325
48167,0,0,0,0,0,0,0,20151210,20160325
26215,0,0,1,0,0,0,0,20151209,20160323
24551,0,0,1,0,0,0,0,20151209,20160323
23506,0,0,1,0,0,0,0,20151209,20160323
18409,0,0,0,0,0,1,0,20151212,20160319
17409,0,0,0,0,0,0,1,20151213,20160320
15962,0,0,0,0,0,0,0,20151221,20160311
15696,0,0,0,0,0,0,1,20151213,20160320
15348,0,0,0,0,0,1,0,20151212,20160319
14471,0,0,0,0,0,0,0,20151221,20160325
14298,0,0,0,0,0,0,0,20151221,20160314
13662,0,0,0,0,0,0,0,20151221,20160219
13628,0,0,0,0,0,0,0,20151211,20160325
12832,0,0,0,0,0,0,0,20151218,20160323
12682,0,0,0,0,0,0,0,20151221,20160325
11279,0,0,0,0,0,0,0,20151209,20160323
11043,0,0,0,0,0,0,0,20151218,20160323
10253,0,0,0,0,0,0,0,20151209,20160323
10189,0,0,0,0,0,0,0,20151221,20160216
9418,0,0,0,0,0,0,0,20151221,20160219
7305,0,0,0,0,0,0,0,20151224,20160215
6033,0,0,0,0,0,0,0,20151224,20160215
5945,0,0,0,0,0,0,0,20151221,20160216
4244,1,1,1,1,0,0,0,20151224,20151231
3061,0,0,0,0,0,0,0,20160118,20160215
1844,1,0,0,0,0,0,0,20160201,20160201
1272,1,0,0,0,0,0,0,20160118,20160118
