route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
100340,15348,11367651,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984607,20098504
100340,15348,11367652,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984608,20098504
100340,15348,11367653,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984607,20098504
100340,15348,11367654,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984608,20098504
100340,15348,11367655,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984607,20098504
100340,15348,11367656,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984608,20098504
100340,15348,11367657,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984607,20098504
100340,15348,11367658,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984608,20098504
100340,15348,11367659,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984607,20098504
100340,15348,11367660,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984608,20098504
100340,15348,11367661,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984607,20098504
100340,15348,11367662,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984608,20098504
100340,15348,11367663,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984607,20098504
100340,15348,11367664,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984608,20098504
100340,15348,11367665,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984607,20098504
100340,15348,11367666,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984608,20098504
100340,15348,11367667,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984607,20098504
100340,15348,11367668,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984608,20098504
100340,15348,11367669,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984607,20098504
100340,15348,11367670,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984608,20098504
100340,15348,11367671,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984607,20098504
100340,15348,11367672,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984608,20098504
100340,15348,11367673,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984607,20098504
100340,15348,11367674,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984608,20098504
100340,15348,11367675,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984607,20098504
100340,15348,11367676,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984608,20098504
100340,15348,11367677,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984607,20098504
100340,15348,11367678,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984608,20098504
100340,15348,11367679,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984607,20098504
100340,15348,11367680,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984608,20098504
100340,15348,11367681,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984607,20098504
100340,15348,11367682,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984608,20098504
100340,15348,11367683,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984607,20098504
100340,15348,11367684,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984608,20098504
100340,15348,11367685,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984607,20098504
100340,15348,11367686,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984608,20098504
100340,15348,11367687,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984607,20098504
100340,15348,11367688,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984608,20098504
100340,15348,11367689,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984607,20098504
100340,15348,11367690,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984608,20098504
100340,15348,11367691,"DOWNTOWN SEATTLE PACIFIC PLACE STATION","LOCAL",1,3984607,20098504
